# Run Accuracy
5.312000000000000000e+04 9.296875000000000000e-01
5.324800000000000000e+04 9.453125000000000000e-01
5.337600000000000000e+04 9.453125000000000000e-01
5.350400000000000000e+04 9.609375000000000000e-01
5.363200000000000000e+04 9.765625000000000000e-01
5.376000000000000000e+04 9.531250000000000000e-01
5.388800000000000000e+04 9.453125000000000000e-01
5.401600000000000000e+04 9.296875000000000000e-01
5.414400000000000000e+04 9.218750000000000000e-01
5.427200000000000000e+04 8.984375000000000000e-01
5.440000000000000000e+04 9.375000000000000000e-01
5.452800000000000000e+04 9.453125000000000000e-01
5.465600000000000000e+04 9.218750000000000000e-01
5.478400000000000000e+04 9.218750000000000000e-01
5.491200000000000000e+04 9.453125000000000000e-01
5.504000000000000000e+04 9.765625000000000000e-01
5.516800000000000000e+04 9.140625000000000000e-01
5.529600000000000000e+04 9.296875000000000000e-01
5.542400000000000000e+04 9.531250000000000000e-01
5.555200000000000000e+04 9.453125000000000000e-01
5.568000000000000000e+04 9.062500000000000000e-01
5.580800000000000000e+04 9.531250000000000000e-01
5.593600000000000000e+04 9.531250000000000000e-01
5.606400000000000000e+04 9.375000000000000000e-01
5.619200000000000000e+04 9.531250000000000000e-01
5.632000000000000000e+04 9.453125000000000000e-01
5.644800000000000000e+04 9.531250000000000000e-01
5.657600000000000000e+04 9.140625000000000000e-01
5.670400000000000000e+04 9.609375000000000000e-01
5.683200000000000000e+04 9.218750000000000000e-01
5.696000000000000000e+04 9.453125000000000000e-01
5.708800000000000000e+04 9.765625000000000000e-01
5.721600000000000000e+04 9.062500000000000000e-01
5.734400000000000000e+04 9.453125000000000000e-01
5.747200000000000000e+04 9.375000000000000000e-01
5.760000000000000000e+04 9.140625000000000000e-01
5.772800000000000000e+04 9.531250000000000000e-01
5.785600000000000000e+04 9.531250000000000000e-01
5.798400000000000000e+04 9.062500000000000000e-01
5.811200000000000000e+04 9.531250000000000000e-01
5.824000000000000000e+04 9.609375000000000000e-01
5.836800000000000000e+04 9.375000000000000000e-01
5.849600000000000000e+04 9.218750000000000000e-01
5.862400000000000000e+04 9.296875000000000000e-01
5.875200000000000000e+04 9.609375000000000000e-01
5.888000000000000000e+04 9.609375000000000000e-01
5.900800000000000000e+04 9.687500000000000000e-01
5.913600000000000000e+04 9.062500000000000000e-01
5.926400000000000000e+04 9.453125000000000000e-01
5.939200000000000000e+04 9.140625000000000000e-01
5.952000000000000000e+04 9.296875000000000000e-01
5.964800000000000000e+04 9.609375000000000000e-01
5.977600000000000000e+04 9.218750000000000000e-01
5.990400000000000000e+04 9.270833134651184082e-01
6.000000000000000000e+04 9.531250000000000000e-01
6.012800000000000000e+04 9.531250000000000000e-01
6.025600000000000000e+04 9.609375000000000000e-01
6.038400000000000000e+04 9.296875000000000000e-01
6.051200000000000000e+04 9.140625000000000000e-01
6.064000000000000000e+04 9.296875000000000000e-01
6.076800000000000000e+04 9.218750000000000000e-01
6.089600000000000000e+04 9.140625000000000000e-01
6.102400000000000000e+04 9.609375000000000000e-01
6.115200000000000000e+04 9.218750000000000000e-01
6.128000000000000000e+04 9.531250000000000000e-01
6.140800000000000000e+04 9.218750000000000000e-01
6.153600000000000000e+04 9.296875000000000000e-01
6.166400000000000000e+04 9.218750000000000000e-01
6.179200000000000000e+04 9.218750000000000000e-01
6.192000000000000000e+04 9.375000000000000000e-01
6.204800000000000000e+04 9.531250000000000000e-01
6.217600000000000000e+04 9.218750000000000000e-01
6.230400000000000000e+04 9.062500000000000000e-01
6.243200000000000000e+04 9.531250000000000000e-01
6.256000000000000000e+04 9.531250000000000000e-01
6.268800000000000000e+04 9.453125000000000000e-01
6.281600000000000000e+04 9.453125000000000000e-01
6.294400000000000000e+04 9.687500000000000000e-01
6.307200000000000000e+04 9.062500000000000000e-01
6.320000000000000000e+04 9.062500000000000000e-01
6.332800000000000000e+04 9.140625000000000000e-01
6.345600000000000000e+04 9.140625000000000000e-01
6.358400000000000000e+04 9.531250000000000000e-01
6.371200000000000000e+04 9.140625000000000000e-01
6.384000000000000000e+04 9.140625000000000000e-01
6.396800000000000000e+04 9.218750000000000000e-01
6.409600000000000000e+04 9.296875000000000000e-01
6.422400000000000000e+04 9.843750000000000000e-01
6.435200000000000000e+04 9.218750000000000000e-01
6.448000000000000000e+04 9.375000000000000000e-01
6.460800000000000000e+04 9.765625000000000000e-01
6.473600000000000000e+04 9.453125000000000000e-01
